"","ADL","AFD","AIM","AIN","AIY","ASEL","ASER","ASG","ASI","ASK","AVA","AVE","AVG","AVH","AVK","AVL","AVM","AWA","AWB","AWC","BAG","CAN","DA","DD","DVC","I5","IL1","IL2","LUA","NSM","OLL","OLQ","PHA","PVC","PVD","PVM","RIA","RIC","RIM","RIS","RMD","SMB","SMD","VB","VC","VD"
"srt-42 V_+_1808850_1809104",-0.090815197580492,0.418558126000291,1.0716395414068,3.07439403502524,-0.908677369042707,-7.50568895224913,4.18847433650639,3.56144928838726,-0.309731711204612,-8.82222092490117,8.68004770056788,8.04288853502766,6.43911190395265,-4.99877392309144,-0.67332496916285,0.609039630236221,-1.35048946208063,5.34456744895934,2.37919531473873,-20.8683189114514,-0.982235222866663,4.5889618112309,8.59219657070478,6.42066201349835,-6.5937941271249,2.2663829803928,-1.2698155759545,4.14407454937182,-2.26597492223363,0,6.01708911761521,2.24969419936793,2.55381108143032,1.68976649973447,2.08038513901398,-1.03319288227811,5.16993552238925,-10.4462532043965,1.89517111912725,-5.85262105748297,-5.2255465066389,-8.44764602039447,-1.62539222281453,6.33305257662094,-13.1355664973711,4.59553061901417
"srt-42 V_+_1807537_1808077",-1.4014685952545,-0.112014738533041,-0.886534784444558,3.98731851713521,-1.13163183260089,-11.0466201959708,-1.2406762478995,0,0.251547849560202,-1.11718671877807,8.65779068325459,7.87642402820548,5.63481252462603,-1.66371043900433,-1.34729212736373,4.09164934514869,-0.421073732148659,4.80922763239482,0.433382215660742,-13.2831767350242,-3.85104709562919,3.04147405413766,3.43145451867637,5.4195613252776,-5.50594720884275,2.37720534575645,-0.366617902488172,3.45771023984821,0.584070429754754,0,2.3914723525729,-0.84923066649348,4.33341842108165,3.43065732469886,8.65310477445903,-0.056706936114961,4.65148947432835,-10.9029498998169,1.06353218630775,0.052938202187154,-4.23133889168157,-5.52338304892075,-1.79012930566917,2.5891791673457,-16.8282240132123,2.33754050347346
"F44E5.4 II_-_11759074_11759182",-6.77015244429535,9.03872810507828,-1.06160325174783,-0.835930067319154,6.89580310123131,-2.44914406577872,-6.59853390722643,10.7633425242114,-1.66815408476826,10.2393113962472,10.2497921674055,10.4773474319051,8.97577031609631,-8.2059542492427,-13.7832949286215,-2.37714405186854,-1.98549619931854,9.93102409322856,6.52111658306585,-2.02679125835505,-14.2437078531891,11.1507339503938,9.8797298778173,10.1698602412052,-11.9697480393606,-2.37512194002018,0.511629915831275,10.2299024285485,-1.0058859684943,2.56051695387993,-1.89790250025177,-6.56282794334526,-2.14854030404636,-7.30117524046449,8.77462253938264,-9.23147653598503,8.0152953263398,-10.8757893264754,-5.33817763955693,-9.03138648260542,-11.7577846752846,-5.47603032935017,-3.44680367580727,9.27616422089162,-12.8803760852081,9.64424187522754
"NONE IV_-_9403578_9403694",-2.40950844864272,0.654288592264096,-1.26579876208846,0.34838794371636,0.969639472809754,-2.27743311045555,-1.08202064258645,1.24154387814161,0.166438103015861,2.92949706129012,2.65971108849542,3.1586897791159,0.451790963777041,-0.797164478740056,-3.32678007848724,0.855686172550077,-0.395717426462288,2.59163476502909,0.425275812261889,-13.6469971840782,-1.50041653463006,3.36984150759976,2.48129229052756,2.96861729020205,-1.22298677802801,-0.165694823595067,-0.468837758738724,3.08605684755728,0.510775538552856,0,0.58222936250668,-0.676734885043946,-0.94810783900334,-1.30406168708233,1.77206699983197,0.400737360517555,2.62864186739784,0.300677951703309,0.815188156994966,-4.0069695209124,-1.87191538996152,-0.518783392993397,-0.635752058381145,0.916692827845271,-0.900457045423124,3.13673621162969
"F40E10.6 X_-_14703932_14704067",-3.73573117405107,-1.41849529919993,2.16169844919221,1.2305104194156,0,-4.28304852075294,-12.9208915420488,2.02833406270381,-1.74178603078651,0.406654492887878,3.85908190631156,5.68468047621599,1.18509124674759,-3.25522543040528,-0.0567982367483453,6.79881447629186,0.34003786904882,1.09123861437939,2.16414156402961,-11.496844825029,-0.547373350894135,1.55238142435019,3.06420159438002,3.69970177310042,-7.00529497512889,-3.02755087539148,-2.19709455576609,1.68470774467429,1.98606509976087,0,1.69851797459348,0.816354199525871,-0.664139632139331,0.054615377995931,2.69539233482257,0,7.63497593185923,1.3622309722668,0.391390895767455,-2.72813918308311,-0.573082822512655,0.854630677125628,-5.40538839954463,3.89911312330709,-0.895475101737398,3.60779725446539
"mpz-1 II_-_10740438_10741123",-1.81031752635073,2.64090107855431,-1.46385407639157,0.784616844295239,0,-5.19773670957919,-1.82362720119084,2.08292780102679,-0.197947403572087,10.3383036860167,1.61853812570245,7.2390532995791,2.15165569711793,-12.6552889142285,-0.219617519491765,0.972605504398983,-8.91455691131634,5.2385045618569,0.297743740177951,-2.46176547705481,-3.2677930786756,1.89403296714744,3.50972008005197,5.22916229448001,-1.20352463014545,-1.03118362869363,-4.47622410597244,6.42249262006277,0.170482785174501,-2.01672740855447,-2.68366865790002,0.603876336873203,0.467197665246087,-1.79679611312406,-1.41367417611,0.718050999967969,-1.89908772386256,-3.39461096163137,1.95751688229017,0,0.013530987921047,-1.17051902095436,-0.38622355846707,0.752444594878805,-0.382723424761248,4.76410967520775
"ZK470.2 X_+_4145553_4146446",-3.57663551528376,11.9154628814401,-0.919230963369736,-0.932891928502275,3.24918623796495,-3.63730871854787,0.534527950258577,2.86471591147148,-1.68862516690033,5.86972818154253,4.27061964712718,1.42289928041411,6.54913209916189,-2.45830306167837,-2.73941216395613,0.441940650883333,-2.79217649007182,4.8036107846945,4.13610347754183,-2.22299107937852,-0.094001282381469,1.87385227804171,1.81138731968698,2.98634605718603,-6.71696852050585,-1.49254746321254,-3.80433829815848,2.93425804909178,-1.30826454674088,-0.893408085812068,-0.349823386540593,-2.08567678451183,0,0,-1.27052675856548,-3.15828304750874,0.702710466551117,-4.14990548096205,0.206926482610963,-12.1716699776226,-0.396798672217962,1.26291302677176,-0.372900296431792,2.58298668537068,-2.8922156123263,1.70559583337593
"tos-1 V_-_9343796_9343944",0,0,-7.11237384408087,-8.05019969304627,0,-4.34778057346112,-3.87068516675637,11.1835705526122,-5.05579770942002,7.82872792242419,11.1210627924438,10.0368511777775,9.96496623014121,-7.01180924137319,-4.01960237863135,-1.75728369858368,-11.4031601365228,11.5590197913522,7.64600928709017,0,5.16412991873533,4.0171524888776,0,9.09391651193559,0,-5.98761766651765,-5.37814848614998,8.32053443240003,-5.22574380839168,0.155753838413051,-5.81473893984808,-5.44723189243834,-7.2160326661078,-4.98995616344552,7.58095348642645,-4.88586115682689,3.37112088049207,-1.55497466424001,-12.1578718860234,-0.048361222747902,-6.5008967825321,-4.87418311215054,-5.1632001283462,6.73342720971428,7.21616237936576,6.88015211744031
"ZK470.2 X_+_4146642_4146759",-5.71432129096484,-1.64489988135387,-1.77701320187031,0.837425121155242,-2.97130200945565,-7.8170641039858,-12.1129400036137,3.43868421355237,0.489842777475515,4.61303111791895,-0.810427121298671,1.41152272558546,6.20141152177128,-4.25194118800721,-3.70952153562264,12.768238909113,0.985269801661284,6.11273270618935,-1.48753262496469,-10.6935084627323,-4.68695171602891,11.5307074097639,6.80117203263556,2.57356291551543,-3.18100812375644,0.330979102216256,-0.523078214262923,1.32802222292333,0.534422732159527,-0.454252118017941,10.6647711005575,1.11971827571762,-0.927977226597967,-1.26726071384965,-0.301257300679637,-1.89296881105238,0.756159596990091,-5.49020871556657,-3.65282894765146,-2.2660636455127,-4.33598267959433,0.026848369661337,-1.5524129517884,3.68821286350016,-4.20759761553462,11.5175846877005
"rrn-3.1 I_+_15066875_15066895",-0.263672151876025,1.16863355183413,-0.210876203257086,0.278248111705067,0,0.408292631172943,0.0123249418377077,1.02389555593947,0.26774708546124,0,0.953598857847775,0,0,0.292618878292095,0.220174931485999,0.29670031507321,0.0817984858926747,1.15836704543101,0.481314766439936,-0.253906868100514,0.186863939733021,1.54781502312895,1.03175157777457,0.379437845517516,0.10482581558602,-1.0087321339927,0.286841143755637,0.950807653677848,-0.250129941989296,0.330150494052433,-0.344681365614395,-0.671150026056909,-12.1002103748497,0.210163024829423,0,-0.778735058152417,0.960850100356772,0.782519242401924,-0.343691774899499,0.321877659540936,0.257106111940855,-0.132445538172684,-0.292603809202708,1.1224025560262,0.347160572964629,1.18654732646394
